,ds,cnp_fi,cnp_fi_pred,day,hour,diff
36,2021-11-29 12:00:00,12.7,12.764270782470703,29,12,0.06427078247070384
37,2021-11-29 13:00:00,12.63,12.788762092590332,29,13,0.15876209259033125
38,2021-11-29 14:00:00,12.81,12.817541122436523,29,14,0.00754112243652294
39,2021-11-29 15:00:00,12.82,12.859580039978027,29,15,0.03958003997802706
40,2021-11-29 16:00:00,12.72,13.054713249206543,29,16,0.33471324920654233
41,2021-11-29 17:00:00,12.63,13.14953899383545,29,17,0.5195389938354484
42,2021-11-29 18:00:00,12.64,13.087719917297363,29,18,0.4477199172973627
43,2021-11-29 19:00:00,12.39,12.926459312438965,29,19,0.5364593124389643
44,2021-11-29 20:00:00,12.02,12.656715393066406,29,20,0.6367153930664067
45,2021-11-29 21:00:00,12.26,12.422801971435547,29,21,0.1628019714355471
46,2021-11-29 22:00:00,12.07,12.137386322021484,29,22,0.06738632202148409
47,2021-11-29 23:00:00,11.75,11.811383247375488,29,23,0.06138324737548828
48,2021-11-30 00:00:00,11.53,11.582942008972168,30,0,0.05294200897216861
49,2021-11-30 01:00:00,11.36,11.4568510055542,30,1,0.09685100555419979
50,2021-11-30 02:00:00,11.3,11.426980018615723,30,2,0.12698001861572195
51,2021-11-30 03:00:00,11.4,11.55522346496582,30,3,0.15522346496581996
52,2021-11-30 04:00:00,11.82,11.811800003051758,30,4,0.008199996948242472
53,2021-11-30 05:00:00,12.58,12.247414588928223,30,5,0.3325854110717774
54,2021-11-30 06:00:00,12.85,12.678760528564453,30,6,0.17123947143554652
55,2021-11-30 07:00:00,13.08,12.945886611938477,30,7,0.1341133880615235
56,2021-11-30 08:00:00,13.06,13.161947250366211,30,8,0.10194725036621044
57,2021-11-30 09:00:00,13.05,13.147931098937988,30,9,0.09793109893798757
58,2021-11-30 10:00:00,13.04,13.000123023986816,30,10,0.03987697601318274
59,2021-11-30 11:00:00,13.11,12.843016624450684,30,11,0.26698337554931584
60,2021-11-30 12:00:00,12.96,12.799151420593262,30,12,0.16084857940673913
61,2021-11-30 13:00:00,12.89,12.8308687210083,30,13,0.05913127899169979
62,2021-11-30 14:00:00,13.07,12.83002758026123,30,14,0.23997241973876982
63,2021-11-30 15:00:00,13.14,12.872389793395996,30,15,0.2676102066040045
64,2021-11-30 16:00:00,13.11,13.004568099975586,30,16,0.1054319000244135
65,2021-11-30 17:00:00,13.0,13.161498069763184,30,17,0.1614980697631836
66,2021-11-30 18:00:00,13.11,13.106107711791992,30,18,0.003892288208007244
67,2021-11-30 19:00:00,12.9,12.929125785827637,30,19,0.029125785827636363
68,2021-11-30 20:00:00,12.41,12.649237632751465,30,20,0.2392376327514647
69,2021-11-30 21:00:00,12.45,12.434613227844238,30,21,0.015386772155761008
70,2021-11-30 22:00:00,12.13,12.11657428741455,30,22,0.01342571258545
71,2021-11-30 23:00:00,11.75,11.774559020996094,30,23,0.02455902099609375
72,2021-12-01 00:00:00,11.49,11.57671070098877,1,0,0.08671070098876932
73,2021-12-01 01:00:00,11.28,11.465141296386719,1,1,0.1851412963867194
74,2021-12-01 02:00:00,11.19,11.407745361328125,1,2,0.2177453613281255
75,2021-12-01 03:00:00,11.29,11.583590507507324,1,3,0.29359050750732507
76,2021-12-01 04:00:00,11.59,11.787737846374512,1,4,0.19773784637451186
77,2021-12-01 05:00:00,12.31,12.205464363098145,1,5,0.10453563690185597
78,2021-12-01 06:00:00,12.77,12.63040542602539,1,6,0.13959457397460895
79,2021-12-01 07:00:00,12.92,12.893119812011719,1,7,0.02688018798828118
80,2021-12-01 08:00:00,12.8,13.12537670135498,1,8,0.32537670135497976
81,2021-12-01 09:00:00,12.8,13.139692306518555,1,9,0.339692306518554
82,2021-12-01 10:00:00,12.79,12.975078582763672,1,10,0.18507858276367273
83,2021-12-01 11:00:00,12.79,12.847224235534668,1,11,0.05722423553466882
84,2021-12-01 12:00:00,12.73,12.760409355163574,1,12,0.030409355163573792
